Product,Name,Rating,CommentHead,Comment,Date
apple-iphone-12-white-128-gb,Shubham Verma,5,Must buy!,Great service by Flipkart. Iphone 12 is just awesome. The only con is they must provide charger. The battery is not that much great but works for a day if sufficiently charged.,7 months ago
apple-iphone-12-white-128-gb,Chandan Cm,5,Classy product,Got an iphone 12 128gb green colour as I expected thanks for flipcart. And when it comes to phone iphone is good and i love purple colour but i got green but it's ok when it comes to its performance and camera excellent and battery backup and charging speed is also good..💭♥️,5 months ago
apple-iphone-12-white-128-gb,Vijay Chelakkat,5,"Great iPhone, but you have to consider these options","Pros:- Same screen quality compared to 12 Pro. Features are also mostly similar except for a few (for example, three back cameras instead of two), which is not a matter of concern for me. - Consistent and super-smooth user experience of iOS. (If you are looking for feature richness, better to go with Android)- Predictable battery life. This means, if your phone is on standby with 2% battery left, you will see the almost same battery percentage even after 2 hours. - Square-shaped design co...",5 months ago
apple-iphone-12-white-128-gb,Karanpal Singh,5,Super!,My first ios device. Oh boy this is a great device. I am so glad that I made the switch. The only thing I miss is the fast refresh rate of android but it’s not as bad as it sounds due to fluidity of iosCameras are excellent but not as sharp as newer android phones with bigger megapixels. But the quality and color accuracy of pictures are great.Battery life is also good. It would run a day and charges upto 90 percent in an hour.The display is gorgeous. One of the best.,"Dec, 2020"
apple-iphone-12-white-128-gb,Flipkart Customer,5,Super!,Awesome product…Camera: it’s superb.Battery : quite good and runs for whole day if moderately use.Display and design : perfect. iPhone 12 is looking so premium and best till date.Performance: perfect and very smooth and premium.Colour: i prefer Green because it looks more light green and different than others and ofcourse it gives premium look… 2nd option can be white.Flipkart order : firstly I hesitated to buy from flipkart as it is of bug amount but I ordered and got my phone one day ...,6 months ago
apple-iphone-12-white-128-gb,Mugdha Jyoti Nondi,5,Perfect product!,This is my first Apple product and obviously I was very excited before unboxing it. The phone feels very premium and truly goes with the brand. Each and every specification of the phone is worth the money. So just go ahead and purchase it without any second thought. I pre-ordered it and received the product on time. Thanks Flipkart for prompt service.,"Nov, 2020"
apple-iphone-12-white-128-gb,susanta dihudi,5,Best in the market!,Stunning Phone from IPhone at Stunning price.1. Good Display.2. Good Looking Ceramic coated iPhone 12.3. Performance rocket.4. Camera awesome with added apps for photo n video. Seamlessly great,4 months ago
apple-iphone-12-white-128-gb,Jacob Thomas,5,Just wow!,My final review after using it for whole one week. Awesome Was a Hard Androider but as I switched really loving iOS Know. Guys the product is geniune please those who are saying flipcart is fake and all. Belive me it's an trustworthy Family. I thanks My seller and the entire team of Flipcart Thank you so much. Regards.,5 months ago
apple-iphone-12-white-128-gb,Shankar Katkade,5,Brilliant,"Worth the money invested. My first iPhone and it could not have been better than this. The look, the ease of use, the security and the display+camera it's just awesome.",5 months ago
apple-iphone-12-white-128-gb,Anjum Uddin,4,Pretty good,"As switched from an android to ios  it's worth upgrading .However ,there are some things particularly in iOS which i dislike for instance,it's a big challenge to transfer your data to a laptop unless it's a MacBook. Overall i can say the camera quality is top notch and processor which we all know it's the fastest chip yet furthermore the security we get is far better than android devices moreover thanks to flipkart for delivering the product earlier than the scheduled date.",6 months ago
