Product,Name,Rating,CommentHead,Comment,Date
apple-iphone-12-white-128-gb,Velmurugan T,5,Another Perfect Apple product to Hold,"Using iPhone since 5S onwards, it's never been a single thought to switch any other mobiles other than Apple. And iPhone 12 is an another wonderful device from Apple, finally upgraded from iPhone 7 --> iPhone 12 256GB. So happy with the product and comfort.Still my old iPhone 7 is working like new, that is what I love about apple products. Highly recommend.Thanks for quick delivery.",8 months ago
apple-iphone-12-white-128-gb,Sanmaan Shetty,5,Wonderful,Got a genuine product. Checked the serial number online as well and it all matched. Works like a charm. Fast as ever. Worth the money,4 months ago
apple-iphone-12-white-128-gb,Akil  Khan,5,Great product,"Stunning look, very premium, awesome camera, I have a moderate use so I get 2 days battery life in single charge, overall very happy with the purchase and last but not the least Fast delivery by Flipkart.",3 months ago
apple-iphone-12-white-128-gb,Sanyam Kaushal,5,Perfect product!,Awesome battery as expected and the product is way better than it's other phone. Unique face ID works in no light makes it more efficient. Overall a good geniune product and highly recommend.,4 months ago
apple-iphone-12-white-128-gb,Rakshith Jackie,5,Mind-blowing purchase,"First thing is I need to thank the seller for giving the original iPhone 12 for such a great pice. Once I got the product first thing I did was to check the serial number in the apple website and confirm the originality of the product. I was very happy as everything was perfect.Now coming to the packing ,it was packed well and no damage was there. My old Samsung phone was exchanged for a good price and was also picked up by them.I am really enjoying my first iPhone. Battery i am getting o...",5 months ago
apple-iphone-12-white-128-gb,Panshul Khurana,4,Good choice,"I have been a pixel lover and pixel user for so many years. The only reason for shifting to Apple was the ease of content creation on iOS environment. Google hasn't been launching new pixel devices in India for almost 3 years now and that is really disappointing. My review is based upon the difference between the 2.Apple lovers may not like my review but even though there is a lot of difference between google and apple, I've still rated the phone  as a 4 star product. I will start with.....",4 months ago
apple-iphone-12-white-128-gb,Siddharth Patnaik,4,Worth the money,Such a great phone with great features…excellent camera and display….decent battery life .. value for money phone …beast like processor ❤️❤️❤️ You can go for this without any hesitation … if u want to use a phone for long term simply go for this (128 gb) …,4 months ago
apple-iphone-12-white-128-gb,Chintan Parekh,4,Delightful,"Undoubtedly awesome in performance, after all it’s 🍎, didn’t like battary backup though, with heavy usage can’t survive for a day, need to juice up in evening, another disadvantage is No fast charging.. Camera is good but not best out there and also keep in mind there is no file manager for data management and data sharing is not as easy as android.",7 months ago
apple-iphone-12-white-128-gb,Aditya Prakash,5,Just wow!,Best mobile phone ever…..just go for it…..excellent battery life….no issue in battery….display is mind blowing….sound is like jhakkas….everything is perfect…i will mention one time more very nice battery backup…whole day n more also…if u use wisely your phone with proper settings….worth the value…and thank u Flipkart for fast delivery.,8 months ago
apple-iphone-12-white-128-gb,Harpreet Singh,5,Awesome,"An absolute charm to have this phone in your hands. Flipkart delivered in the next day in the BBD sale. Camera, display, looks, performance, smooth interface is all that makes iphones standout from rest. And iphone 12 delivers all that you require. Though iPhone's battery has always been the downside. Apple if you are listening we need much more larger battery capacity and you wont have to face any competition.And thankfull we didn't get Nirma soap in our box😂",4 months ago
apple-iphone-12-white-128-gb,Shivam Agrawal,5,Best in the market!,"Perfect iPhone . Glad that I Pick iPhone 12 instead of iPhone 11 , Prices are bit high but Features are completely fill that Price Gap . I love that Device . Happy User 😁",11 months ago
apple-iphone-12-white-128-gb,Sharique Shakil,4,Pretty good,Definitely an awesome product...an awesome experience if you are upgrading from android.... Bgmi experience is unmatched...The performance and day to day activities on the mobile is way different than any other can offer....My suggestion is ..if you can afford it....you may go if you are a lover of quality over quantity..Battery is okay...neither like it cant even run few hours nor like it will run till days...in between...you can take it with a little over mild usage....for 6 to 7 hours.....,4 months ago
apple-iphone-12-white-128-gb,Madhur Panghal,5,Terrific purchase,Writing this review after 50 days of ‘heavy’ use.• The performance is just flawless. I played BGMI usually 6-7 hrs daily for 25-30 days (both classics and tournaments) with screen recording and never got even a single framedrop. • Battery performance is also good. While playing heavy games continuously it gives a backup of around 4hrs and around 3-1/2 hrs with screen recording. If u are not playing heavy games then the battery will last all day long and there will be still left around 20%...,3 months ago
apple-iphone-12-white-128-gb,Sumeet Dhillon,5,Brilliant,Save few bucks and buy this and avoid 13. Used this for a year and great compact beast if you got money to waste else restrict yourself for under 30k androids.Not having great of everything but still best as it got everything you need in top notch phone.,4 months ago
apple-iphone-12-white-128-gb,Flipkart Customer,5,Super!,Appreciated with product!!!!!! It's amazing🤩 when I ordered there was so many doubt related products quality and refurbished Or duplicate... But when it was reached its amazing experience. Phone was fully packed as it bought from showroom...... And same with warranty... Warranty is in accurately activated by system... Very good product,5 months ago
apple-iphone-12-white-128-gb,rahul kumar,5,Terrific purchase,Using apple after 3 years last I was using 6plus and after that S8 iOS is good if you are in this apple ecosystem otherwise I will ask everyone to stick to android Camera is really good on this oneSpeaker quality is amazing Performance top notch Battery life is fantastic it will last full day in heavy uses,"Feb, 2021"
